ArraySize, CuPy Time(s), NumPy Time(s)
100000, 1.37, .00734
100000, 1.37, .00441
100000, 1.34, .00453
1000000, 1.43 , .0273
1000000, 1.88 , .0243
1000000, 1.54, .0248
10000000, 1.5, 0.225
10000000, 1.6, 0.202
10000000, 1.76, 0.205
