Trial,Array Length,C Code Generation Time,Python Code Generation Time
0,5,0.011456489562988281,0.002613544464111328
0,10,0.013559818267822266,0.0026960372924804688
0,50,0.0106201171875,0.0025222301483154297
0,100,0.010046720504760742,0.0024814605712890625
0,500,0.009466171264648438,0.005961418151855469
0,1000,0.01708197593688965,0.006882190704345703
0,5000,0.013363838195800781,0.007161140441894531
0,10000,0.01192784309387207,0.010789632797241211
0,50000,0.04482722282409668,0.08905339241027832
0,100000,0.047400712966918945,0.2978048324584961
1,5,0.019641876220703125,0.0070993900299072266
1,10,0.022609710693359375,0.009180068969726562
1,50,0.02160191535949707,0.00545048713684082
1,100,0.012778520584106445,0.004909038543701172
1,500,0.015436410903930664,0.005659818649291992
1,1000,0.016103267669677734,0.00608372688293457
1,5000,0.01769852638244629,0.013386964797973633
1,10000,0.03321337699890137,0.02857685089111328
1,50000,0.05900740623474121,0.0708775520324707
1,100000,0.12038111686706543,0.15431451797485352
2,5,0.013436555862426758,0.004480123519897461
2,10,0.020468950271606445,0.004528999328613281
2,50,0.10340356826782227,0.018244504928588867
2,100,0.025274276733398438,0.011307477951049805
2,500,0.0455164909362793,0.005826711654663086
2,1000,0.01592254638671875,0.0074787139892578125
2,5000,0.02020740509033203,0.012416839599609375
2,10000,0.02009129524230957,0.027923583984375
2,50000,0.03747391700744629,0.09986114501953125
2,100000,0.07414364814758301,0.09587550163269043
